"Name","Team","AtBat","Hits","Home","Runs","RBI","BB","YrMajor","CrAtBat","CrHits","CrHome","CrRuns","CrRbi","CrBB","League","Division","Position","Outs","Assts","Error","Salary","Div"
"Aldrete, Mike","San Francisco",216.00,54.00,2.00,27.00,25.00,33.00,1.00,216.00,54.00,2.00,27.00,25.00,33.00,"National","West","1O",317.00,36.00,1.00,"75","NW"
"Allanson, Andy","Cleveland",293.00,66.00,1.00,30.00,29.00,14.00,1.00,293.00,66.00,1.00,30.00,29.00,14.00,"American","East","C",446.00,33.00,20.00,"","AE"
"Almon, Bill","Pittsburgh",196.00,43.00,7.00,29.00,27.00,30.00,13.00,3231.00,825.00,36.00,376.00,290.00,238.00,"National","East","UT",80.00,45.00,8.00,"240","NE"
"Anderson, Dave","Los Angeles",216.00,53.00,1.00,31.00,15.00,22.00,4.00,926.00,210.00,9.00,118.00,69.00,114.00,"National","West","3S",73.00,152.00,11.00,"225","NW"
"Armas, Tony","Boston",425.00,112.00,11.00,40.00,58.00,24.00,11.00,4513.00,1134.00,224.00,542.00,727.00,230.00,"American","East","CF",247.00,4.00,8.00,"","AE"
"Ashby, Alan","Houston",315.00,81.00,7.00,24.00,38.00,39.00,14.00,3449.00,835.00,69.00,321.00,414.00,375.00,"National","West","C",632.00,43.00,10.00,"475","NW"
"Backman, Wally","New York",387.00,124.00,1.00,67.00,27.00,36.00,7.00,1775.00,506.00,6.00,272.00,125.00,194.00,"National","East","2B",186.00,290.00,17.00,"550","NE"
"Baines, Harold","Chicago",570.00,169.00,21.00,72.00,88.00,38.00,7.00,3754.00,1077.00,140.00,492.00,589.00,263.00,"American","West","RF",295.00,15.00,5.00,"950","AW"
"Baker, Dusty","Oakland",242.00,58.00,4.00,25.00,19.00,27.00,19.00,7117.00,1981.00,242.00,964.00,1013.00,762.00,"American","West","OF",90.00,4.00,0.00,"","AW"
"Balboni, Steve","Kansas City",512.00,117.00,29.00,54.00,88.00,43.00,6.00,1750.00,412.00,100.00,204.00,276.00,155.00,"American","West","1B",1236.00,98.00,18.00,"100","AW"
"Bando, Chris","Cleveland",254.00,68.00,2.00,28.00,26.00,22.00,6.00,999.00,236.00,21.00,108.00,117.00,118.00,"American","East","C",359.00,30.00,4.00,"305","AE"
"Barfield, Jesse","Toronto",589.00,170.00,40.00,107.00,108.00,69.00,6.00,2325.00,634.00,128.00,371.00,376.00,238.00,"American","East","RF",368.00,20.00,3.00,"1237.5","AE"
