"Id","Cement","Blast_Furnace_Slag","Fly Ash","Water","Superplasticizer","Coarse_Aggregate","Fine_Aggregate","Age","Concrete_compressive_strength"
1.00,540.00,0.00,0.00,162.00,2.50,1040.00,676.00,28.00,79.98
2.00,540.00,0.00,0.00,162.00,2.50,1055.00,676.00,28.00,61.88
3.00,332.50,142.50,0.00,228.00,0.00,932.00,594.00,270.00,40.26
4.00,332.50,142.50,0.00,228.00,0.00,932.00,594.00,365.00,41.05
5.00,198.60,132.40,0.00,192.00,0.00,978.40,825.50,360.00,44.29
6.00,266.00,114.00,0.00,228.00,0.00,932.00,670.00,90.00,47.02
7.00,380.00,95.00,0.00,228.00,0.00,932.00,594.00,365.00,43.69
8.00,380.00,95.00,0.00,228.00,0.00,932.00,594.00,28.00,36.44
9.00,266.00,114.00,0.00,228.00,0.00,932.00,670.00,28.00,45.85
10.00,475.00,0.00,0.00,228.00,0.00,932.00,594.00,28.00,39.28
11.00,198.60,132.40,0.00,192.00,0.00,978.40,825.50,90.00,38.07
12.00,198.60,132.40,0.00,192.00,0.00,978.40,825.50,28.00,28.02
13.00,427.50,47.50,0.00,228.00,0.00,932.00,594.00,270.00,43.01
14.00,190.00,190.00,0.00,228.00,0.00,932.00,670.00,90.00,42.32
15.00,304.00,76.00,0.00,228.00,0.00,932.00,670.00,28.00,47.81
16.00,380.00,0.00,0.00,228.00,0.00,932.00,670.00,90.00,52.90
17.00,139.60,209.40,0.00,192.00,0.00,1047.00,806.90,90.00,39.35
18.00,342.00,38.00,0.00,228.00,0.00,932.00,670.00,365.00,56.14
19.00,380.00,95.00,0.00,228.00,0.00,932.00,594.00,90.00,40.56
20.00,475.00,0.00,0.00,228.00,0.00,932.00,594.00,180.00,42.62
21.00,427.50,47.50,0.00,228.00,0.00,932.00,594.00,180.00,41.83
22.00,139.60,209.40,0.00,192.00,0.00,1047.00,806.90,28.00,28.23
23.00,139.60,209.40,0.00,192.00,0.00,1047.00,806.90,3.00,8.06
24.00,139.60,209.40,0.00,192.00,0.00,1047.00,806.90,180.00,44.20
25.00,380.00,0.00,0.00,228.00,0.00,932.00,670.00,365.00,52.51
26.00,380.00,0.00,0.00,228.00,0.00,932.00,670.00,270.00,53.30
27.00,380.00,95.00,0.00,228.00,0.00,932.00,594.00,270.00,41.15
28.00,342.00,38.00,0.00,228.00,0.00,932.00,670.00,180.00,52.12
29.00,427.50,47.50,0.00,228.00,0.00,932.00,594.00,28.00,37.42
30.00,475.00,0.00,0.00,228.00,0.00,932.00,594.00,7.00,38.60
31.00,304.00,76.00,0.00,228.00,0.00,932.00,670.00,365.00,55.26
32.00,266.00,114.00,0.00,228.00,0.00,932.00,670.00,365.00,52.90
33.00,198.60,132.40,0.00,192.00,0.00,978.40,825.50,180.00,41.71
34.00,475.00,0.00,0.00,228.00,0.00,932.00,594.00,270.00,42.13
35.00,190.00,190.00,0.00,228.00,0.00,932.00,670.00,365.00,53.69
36.00,237.50,237.50,0.00,228.00,0.00,932.00,594.00,270.00,38.40
37.00,237.50,237.50,0.00,228.00,0.00,932.00,594.00,28.00,30.07
38.00,332.50,142.50,0.00,228.00,0.00,932.00,594.00,90.00,37.72
39.00,475.00,0.00,0.00,228.00,0.00,932.00,594.00,90.00,42.22
40.00,237.50,237.50,0.00,228.00,0.00,932.00,594.00,180.00,36.25
41.00,342.00,38.00,0.00,228.00,0.00,932.00,670.00,90.00,50.45
42.00,427.50,47.50,0.00,228.00,0.00,932.00,594.00,365.00,43.69
43.00,237.50,237.50,0.00,228.00,0.00,932.00,594.00,365.00,38.99
44.00,380.00,0.00,0.00,228.00,0.00,932.00,670.00,180.00,53.10
45.00,427.50,47.50,0.00,228.00,0.00,932.00,594.00,90.00,41.54
46.00,427.50,47.50,0.00,228.00,0.00,932.00,594.00,7.00,35.07
47.00,349.00,0.00,0.00,192.00,0.00,1047.00,806.90,3.00,15.04
48.00,380.00,95.00,0.00,228.00,0.00,932.00,594.00,180.00,40.75
49.00,237.50,237.50,0.00,228.00,0.00,932.00,594.00,7.00,26.25
50.00,380.00,95.00,0.00,228.00,0.00,932.00,594.00,7.00,32.82
51.00,332.50,142.50,0.00,228.00,0.00,932.00,594.00,180.00,39.77
52.00,190.00,190.00,0.00,228.00,0.00,932.00,670.00,180.00,46.93
53.00,237.50,237.50,0.00,228.00,0.00,932.00,594.00,90.00,33.11
54.00,304.00,76.00,0.00,228.00,0.00,932.00,670.00,90.00,49.18
55.00,139.60,209.40,0.00,192.00,0.00,1047.00,806.90,7.00,14.58
56.00,198.60,132.40,0.00,192.00,0.00,978.40,825.50,7.00,14.63
57.00,475.00,0.00,0.00,228.00,0.00,932.00,594.00,365.00,41.93
58.00,198.60,132.40,0.00,192.00,0.00,978.40,825.50,3.00,9.13
59.00,304.00,76.00,0.00,228.00,0.00,932.00,670.00,180.00,50.94
60.00,332.50,142.50,0.00,228.00,0.00,932.00,594.00,28.00,33.01
61.00,304.00,76.00,0.00,228.00,0.00,932.00,670.00,270.00,54.37
62.00,266.00,114.00,0.00,228.00,0.00,932.00,670.00,270.00,51.73
63.00,310.00,0.00,0.00,192.00,0.00,971.00,850.60,3.00,9.86
64.00,190.00,190.00,0.00,228.00,0.00,932.00,670.00,270.00,50.65
65.00,266.00,114.00,0.00,228.00,0.00,932.00,670.00,180.00,48.69
66.00,342.00,38.00,0.00,228.00,0.00,932.00,670.00,270.00,55.06
67.00,139.60,209.40,0.00,192.00,0.00,1047.00,806.90,360.00,44.69
68.00,332.50,142.50,0.00,228.00,0.00,932.00,594.00,7.00,30.27
69.00,190.00,190.00,0.00,228.00,0.00,932.00,670.00,28.00,40.85
70.00,485.00,0.00,0.00,146.00,0.00,1120.00,800.00,28.00,71.98
71.00,374.00,189.20,0.00,170.10,10.10,926.10,756.70,3.00,34.39
72.00,313.30,262.20,0.00,175.50,8.60,1046.90,611.80,3.00,28.79
73.00,425.00,106.30,0.00,153.50,16.50,852.10,887.10,3.00,33.39
74.00,425.00,106.30,0.00,151.40,18.60,936.00,803.70,3.00,36.30
75.00,375.00,93.80,0.00,126.60,23.40,852.10,992.60,3.00,28.99
76.00,475.00,118.80,0.00,181.10,8.90,852.10,781.50,3.00,37.79
77.00,469.00,117.20,0.00,137.80,32.20,852.10,840.50,3.00,40.19
78.00,425.00,106.30,0.00,153.50,16.50,852.10,887.10,3.00,33.39
79.00,388.60,97.10,0.00,157.90,12.10,852.10,925.70,3.00,28.09
80.00,531.30,0.00,0.00,141.80,28.20,852.10,893.70,3.00,41.29
81.00,425.00,106.30,0.00,153.50,16.50,852.10,887.10,3.00,33.39
82.00,318.80,212.50,0.00,155.70,14.30,852.10,880.40,3.00,25.20
83.00,401.80,94.70,0.00,147.40,11.40,946.80,852.10,3.00,41.09
84.00,362.60,189.00,0.00,164.90,11.60,944.70,755.80,3.00,35.30
85.00,323.70,282.80,0.00,183.80,10.30,942.70,659.90,3.00,28.29
86.00,379.50,151.20,0.00,153.90,15.90,1134.30,605.00,3.00,28.59
87.00,362.60,189.00,0.00,164.90,11.60,944.70,755.80,3.00,35.30
88.00,286.30,200.90,0.00,144.70,11.20,1004.60,803.70,3.00,24.40
89.00,362.60,189.00,0.00,164.90,11.60,944.70,755.80,3.00,35.30
90.00,439.00,177.00,0.00,186.00,11.10,884.90,707.90,3.00,39.30
91.00,389.90,189.00,0.00,145.90,22.00,944.70,755.80,3.00,40.59
92.00,362.60,189.00,0.00,164.90,11.60,944.70,755.80,3.00,35.30
93.00,337.90,189.00,0.00,174.90,9.50,944.70,755.80,3.00,24.09
94.00,374.00,189.20,0.00,170.10,10.10,926.10,756.70,7.00,46.20
95.00,313.30,262.20,0.00,175.50,8.60,1046.90,611.80,7.00,42.79
96.00,425.00,106.30,0.00,153.50,16.50,852.10,887.10,7.00,49.20
97.00,425.00,106.30,0.00,151.40,18.60,936.00,803.70,7.00,46.80
98.00,375.00,93.80,0.00,126.60,23.40,852.10,992.60,7.00,45.69
99.00,475.00,118.80,0.00,181.10,8.90,852.10,781.50,7.00,55.59
100.00,469.00,117.20,0.00,137.80,32.20,852.10,840.50,7.00,54.89
101.00,425.00,106.30,0.00,153.50,16.50,852.10,887.10,7.00,49.20
102.00,388.60,97.10,0.00,157.90,12.10,852.10,925.70,7.00,34.90
103.00,531.30,0.00,0.00,141.80,28.20,852.10,893.70,7.00,46.89
104.00,425.00,106.30,0.00,153.50,16.50,852.10,887.10,7.00,49.20
105.00,318.80,212.50,0.00,155.70,14.30,852.10,880.40,7.00,33.39
106.00,401.80,94.70,0.00,147.40,11.40,946.80,852.10,7.00,54.09
107.00,362.60,189.00,0.00,164.90,11.60,944.70,755.80,7.00,55.89
108.00,323.70,282.80,0.00,183.80,10.30,942.70,659.90,7.00,49.80
109.00,379.50,151.20,0.00,153.90,15.90,1134.30,605.00,7.00,47.09
110.00,362.60,189.00,0.00,164.90,11.60,944.70,755.80,7.00,55.89
111.00,286.30,200.90,0.00,144.70,11.20,1004.60,803.70,7.00,37.99
112.00,362.60,189.00,0.00,164.90,11.60,944.70,755.80,7.00,55.89
113.00,439.00,177.00,0.00,186.00,11.10,884.90,707.90,7.00,56.09
114.00,389.90,189.00,0.00,145.90,22.00,944.70,755.80,7.00,59.09
