"name","year","team","league","goose_eggs","broken_eggs","mehs","league_average_gpct","ppf","replacement_gpct","gwar","key_retro"
"Dolf Luque",1921.00,"CIN","NL",3.00,1.00,0.00,0.75,94.00,0.71,0.06,"luqud101"
"Mike Kircher",1921.00,"SLN","NL",0.00,1.00,0.00,0.74,96.00,0.71,-0.37,"kircm101"
"Slim Sallee",1921.00,"NY1","NL",13.00,6.00,2.00,0.74,98.00,0.71,-0.26,"salls101"
"Lou North",1921.00,"SLN","NL",10.00,4.00,0.00,0.74,96.00,0.71,1.731e-04,"nortl101"
"Dana Fillingim",1921.00,"BSN","NL",4.00,1.00,1.00,0.74,96.00,0.71,0.22,"filld101"
"Speed Martin",1921.00,"CHN","NL",5.00,2.00,1.00,0.74,101.00,0.70,0.02,"marts102"
"Lynn Brenton",1921.00,"CIN","NL",2.00,1.00,0.00,0.75,94.00,0.71,-0.07,"brenl101"
"Pete Alexander",1921.00,"CHN","NL",1.00,0.00,0.00,0.74,101.00,0.70,0.15,"alexg102"
"Fritz Coumbe",1921.00,"CIN","NL",1.00,1.00,0.00,0.75,94.00,0.71,-0.22,"coumf101"
"Red Causey",1921.00,"NY1","NL",0.00,1.00,0.00,0.74,98.00,0.71,-0.36,"causr101"
"Mule Watson",1921.00,"BSN","NL",0.00,0.00,1.00,0.74,96.00,0.71,,"watsm103"
"Red Shea",1921.00,"NY1","NL",5.00,0.00,1.00,0.74,98.00,0.71,0.75,"shear102"
"Tink Riviere",1921.00,"SLN","NL",0.00,1.00,0.00,0.74,96.00,0.71,-0.37,"rivit101"
"George Mohart",1921.00,"BRO","NL",0.00,0.00,0.00,0.73,104.00,0.70,,"mohag101"
"Stan Baumgartner",1921.00,"PHI","NL",2.00,0.00,1.00,0.72,111.00,0.69,0.31,"baums101"
"Ferdie Schupp",1921.00,"BRO","NL",4.00,1.00,1.00,0.73,104.00,0.70,0.25,"schuf102"
"Jack Scott",1921.00,"BSN","NL",7.00,1.00,0.00,0.74,96.00,0.71,0.66,"scotj101"
"Al Mamaux",1921.00,"BRO","NL",13.00,2.00,1.00,0.73,104.00,0.70,1.27,"mamaa101"
"Rube Marquard",1921.00,"CIN","NL",1.00,0.00,0.00,0.75,94.00,0.71,0.14,"marqr102"
"Rip Wheeler",1921.00,"PIT","NL",0.00,0.00,0.00,0.74,101.00,0.70,,"wheer101"
"Lyle Bigbee",1921.00,"PIT","NL",0.00,0.00,0.00,0.74,101.00,0.70,,"bigbl101"
"Vic Keen",1921.00,"CHN","NL",0.00,0.00,0.00,0.74,101.00,0.70,,"keenv101"
"Garland Braxton",1921.00,"BSN","NL",0.00,0.00,1.00,0.74,96.00,0.71,,"braxg101"
"Ferdie Schupp",1921.00,"SLN","NL",1.00,0.00,0.00,0.74,96.00,0.71,0.14,"schuf102"
"Lee Meadows",1921.00,"PHI","NL",0.00,1.00,0.00,0.72,111.00,0.69,-0.36,"meadl101"
"Roy Walker",1921.00,"SLN","NL",1.00,0.00,0.00,0.74,96.00,0.71,0.14,"walkr102"
"Phil Morrison",1921.00,"PIT","NL",0.00,0.00,0.00,0.74,101.00,0.70,,"morrp101"
"Eppa Rixey",1921.00,"CIN","NL",5.00,1.00,2.00,0.75,94.00,0.71,0.36,"rixee101"
"Pete Donohue",1921.00,"CIN","NL",4.00,3.00,0.00,0.75,94.00,0.71,-0.53,"donop102"
"Johnny Cooney",1921.00,"BSN","NL",0.00,0.00,0.00,0.74,96.00,0.71,,"coonj101"
"Huck Betts",1921.00,"PHI","NL",9.00,3.00,2.00,0.72,111.00,0.69,0.35,"betth101"
"Bob Geary",1921.00,"CIN","NL",0.00,1.00,0.00,0.75,94.00,0.71,-0.37,"gearb101"
"Buddy Napier",1921.00,"CIN","NL",0.00,0.00,1.00,0.75,94.00,0.71,,"napib101"
"Al Pierotti",1921.00,"BSN","NL",0.00,0.00,0.00,0.74,96.00,0.71,,"piera101"
"Ira Townsend",1921.00,"BSN","NL",0.00,0.00,0.00,0.74,96.00,0.71,,"towni101"
"Elmer Ponder",1921.00,"PIT","NL",3.00,0.00,1.00,0.74,101.00,0.70,0.45,"ponde101"
"Fred Toney",1921.00,"NY1","NL",6.00,1.00,3.00,0.74,98.00,0.71,0.53,"tonef101"
"Jimmy Ring",1921.00,"PHI","NL",0.00,0.00,1.00,0.72,111.00,0.69,,"ringj101"
"Jeff Pfeffer",1921.00,"BRO","NL",1.00,1.00,0.00,0.73,104.00,0.70,-0.21,"pfefj101"
"Virgil Cheeves",1921.00,"CHN","NL",7.00,0.00,0.00,0.74,101.00,0.70,1.06,"cheev101"
"Leon Cadore",1921.00,"BRO","NL",10.00,3.00,1.00,0.73,104.00,0.70,0.44,"cadol101"
"Walter Zink",1921.00,"NY1","NL",0.00,0.00,0.00,0.74,98.00,0.71,,"zinkw101"
"Rosy Ryan",1921.00,"NY1","NL",8.00,4.00,0.00,0.74,98.00,0.71,-0.27,"ryanr101"
"Hal Carlson",1921.00,"PIT","NL",6.00,5.00,0.00,0.74,101.00,0.70,-0.92,"carlh101"
"Elmer Ponder",1921.00,"CHN","NL",0.00,1.00,0.00,0.74,101.00,0.70,-0.36,"ponde101"
"Earl Hamilton",1921.00,"PIT","NL",6.00,1.00,2.00,0.74,101.00,0.70,0.54,"hamie101"
"Hippo Vaughn",1921.00,"CHN","NL",0.00,0.00,0.00,0.74,101.00,0.70,,"vaugh101"
"Babe Adams",1921.00,"PIT","NL",12.00,0.00,0.00,0.74,101.00,0.70,1.82,"adamb104"
"Jimmy Zinn",1921.00,"PIT","NL",10.00,3.00,2.00,0.74,101.00,0.70,0.41,"zinnj101"
"Drew Rader",1921.00,"PIT","NL",0.00,0.00,0.00,0.74,101.00,0.70,,"raded102"
"Sherry Smith",1921.00,"BRO","NL",14.00,5.00,0.00,0.73,104.00,0.70,0.33,"smits102"
"Jeff Pfeffer",1921.00,"SLN","NL",0.00,0.00,0.00,0.74,96.00,0.71,,"pfefj101"
"Duke Sedgwick",1921.00,"PHI","NL",0.00,0.00,0.00,0.72,111.00,0.69,,"sedgd101"
"George Smith",1921.00,"PHI","NL",3.00,1.00,0.00,0.72,111.00,0.69,0.11,"smitg104"
"Dutch Ruether",1921.00,"BRO","NL",1.00,0.00,2.00,0.73,104.00,0.70,0.15,"ruetd101"
"Joe Oeschger",1921.00,"BSN","NL",3.00,3.00,0.00,0.74,96.00,0.71,-0.66,"oescj101"
"Oscar Fuhr",1921.00,"CHN","NL",0.00,0.00,0.00,0.74,101.00,0.70,,"fuhro102"
"Art Nehf",1921.00,"NY1","NL",2.00,2.00,0.00,0.74,98.00,0.71,-0.43,"nehfa101"
"Johnny Morrison",1921.00,"PIT","NL",0.00,0.00,0.00,0.74,101.00,0.70,,"morrj105"
"Bill Pertica",1921.00,"SLN","NL",0.00,0.00,0.00,0.74,96.00,0.71,,"pertb101"
"Kaiser Wilhelm",1921.00,"PHI","NL",0.00,0.00,0.00,0.72,111.00,0.69,,"wilhk101"
"Rube Benton",1921.00,"NY1","NL",6.00,3.00,0.00,0.74,98.00,0.71,-0.20,"bentr102"
"Buck Freeman",1921.00,"CHN","NL",5.00,0.00,0.00,0.74,101.00,0.70,0.76,"freeb101"
"Johnny Miljus",1921.00,"BRO","NL",4.00,1.00,1.00,0.73,104.00,0.70,0.25,"miljj101"
"Lefty Tyler",1921.00,"CHN","NL",3.00,0.00,0.00,0.74,101.00,0.70,0.45,"tylel101"
"Bill Sherdel",1921.00,"SLN","NL",6.00,2.00,0.00,0.74,96.00,0.71,0.14,"sherb101"
