"id","sepal_length","sepal_width","petal_length","petal_width","class"
1.00,5.10,3.50,1.40,0.20,"Iris-setosa"
2.00,4.90,3.00,1.40,0.20,"Iris-setosa"
3.00,4.70,3.20,1.30,0.20,"Iris-setosa"
4.00,4.60,3.10,1.50,0.20,"Iris-setosa"
5.00,5.00,3.60,1.40,0.20,"Iris-setosa"
6.00,5.40,3.90,1.70,0.40,"Iris-setosa"
7.00,4.60,3.40,1.40,0.30,"Iris-setosa"
8.00,5.00,3.40,1.50,0.20,"Iris-setosa"
9.00,4.40,2.90,1.40,0.20,"Iris-setosa"
10.00,4.90,3.10,1.50,0.10,"Iris-setosa"
11.00,5.40,3.70,1.50,0.20,"Iris-setosa"
12.00,4.80,3.40,1.60,0.20,"Iris-setosa"
13.00,4.80,3.00,1.40,0.10,"Iris-setosa"
14.00,4.30,3.00,1.10,0.10,"Iris-setosa"
15.00,5.80,4.00,1.20,0.20,"Iris-setosa"
16.00,5.70,4.40,1.50,0.40,"Iris-setosa"
17.00,5.40,3.90,1.30,0.40,"Iris-setosa"
18.00,5.10,3.50,1.40,0.30,"Iris-setosa"
19.00,5.70,3.80,1.70,0.30,"Iris-setosa"
20.00,5.10,3.80,1.50,0.30,"Iris-setosa"
21.00,5.40,3.40,1.70,0.20,"Iris-setosa"
22.00,5.10,3.70,1.50,0.40,"Iris-setosa"
23.00,4.60,3.60,1.00,0.20,"Iris-setosa"
24.00,5.10,3.30,1.70,0.50,"Iris-setosa"
25.00,4.80,3.40,1.90,0.20,"Iris-setosa"
26.00,5.00,3.00,1.60,0.20,"Iris-setosa"
27.00,5.00,3.40,1.60,0.40,"Iris-setosa"
28.00,5.20,3.50,1.50,0.20,"Iris-setosa"
29.00,5.20,3.40,1.40,0.20,"Iris-setosa"
30.00,4.70,3.20,1.60,0.20,"Iris-setosa"
31.00,4.80,3.10,1.60,0.20,"Iris-setosa"
32.00,5.40,3.40,1.50,0.40,"Iris-setosa"
33.00,5.20,4.10,1.50,0.10,"Iris-setosa"
34.00,5.50,4.20,1.40,0.20,"Iris-setosa"
35.00,4.90,3.10,1.50,0.10,"Iris-setosa"
36.00,5.00,3.20,1.20,0.20,"Iris-setosa"
37.00,5.50,3.50,1.30,0.20,"Iris-setosa"
38.00,4.90,3.10,1.50,0.10,"Iris-setosa"
39.00,4.40,3.00,1.30,0.20,"Iris-setosa"
40.00,5.10,3.40,1.50,0.20,"Iris-setosa"
41.00,5.00,3.50,1.30,0.30,"Iris-setosa"
42.00,4.50,2.30,1.30,0.30,"Iris-setosa"
43.00,4.40,3.20,1.30,0.20,"Iris-setosa"
44.00,5.00,3.50,1.60,0.60,"Iris-setosa"
45.00,5.10,3.80,1.90,0.40,"Iris-setosa"
46.00,4.80,3.00,1.40,0.30,"Iris-setosa"
47.00,5.10,3.80,1.60,0.20,"Iris-setosa"
48.00,4.60,3.20,1.40,0.20,"Iris-setosa"
49.00,5.30,3.70,1.50,0.20,"Iris-setosa"
50.00,5.00,3.30,1.40,0.20,"Iris-setosa"
51.00,7.00,3.20,4.70,1.40,"Iris-versicolor"
52.00,6.40,3.20,4.50,1.50,"Iris-versicolor"
53.00,6.90,3.10,4.90,1.50,"Iris-versicolor"
54.00,5.50,2.30,4.00,1.30,"Iris-versicolor"
55.00,6.50,2.80,4.60,1.50,"Iris-versicolor"
56.00,5.70,2.80,4.50,1.30,"Iris-versicolor"
57.00,6.30,3.30,4.70,1.60,"Iris-versicolor"
58.00,4.90,2.40,3.30,1.00,"Iris-versicolor"
59.00,6.60,2.90,4.60,1.30,"Iris-versicolor"
60.00,5.20,2.70,3.90,1.40,"Iris-versicolor"
61.00,5.00,2.00,3.50,1.00,"Iris-versicolor"
62.00,5.90,3.00,4.20,1.50,"Iris-versicolor"
63.00,6.00,2.20,4.00,1.00,"Iris-versicolor"
64.00,6.10,2.90,4.70,1.40,"Iris-versicolor"
65.00,5.60,2.90,3.60,1.30,"Iris-versicolor"
66.00,6.70,3.10,4.40,1.40,"Iris-versicolor"
67.00,5.60,3.00,4.50,1.50,"Iris-versicolor"
68.00,5.80,2.70,4.10,1.00,"Iris-versicolor"
69.00,6.20,2.20,4.50,1.50,"Iris-versicolor"
70.00,5.60,2.50,3.90,1.10,"Iris-versicolor"
71.00,5.90,3.20,4.80,1.80,"Iris-versicolor"
72.00,6.10,2.80,4.00,1.30,"Iris-versicolor"
73.00,6.30,2.50,4.90,1.50,"Iris-versicolor"
74.00,6.10,2.80,4.70,1.20,"Iris-versicolor"
75.00,6.40,2.90,4.30,1.30,"Iris-versicolor"
76.00,6.60,3.00,4.40,1.40,"Iris-versicolor"
77.00,6.80,2.80,4.80,1.40,"Iris-versicolor"
78.00,6.70,3.00,5.00,1.70,"Iris-versicolor"
79.00,6.00,2.90,4.50,1.50,"Iris-versicolor"
80.00,5.70,2.60,3.50,1.00,"Iris-versicolor"
81.00,5.50,2.40,3.80,1.10,"Iris-versicolor"
82.00,5.50,2.40,3.70,1.00,"Iris-versicolor"
83.00,5.80,2.70,3.90,1.20,"Iris-versicolor"
84.00,6.00,2.70,5.10,1.60,"Iris-versicolor"
85.00,5.40,3.00,4.50,1.50,"Iris-versicolor"
86.00,6.00,3.40,4.50,1.60,"Iris-versicolor"
87.00,6.70,3.10,4.70,1.50,"Iris-versicolor"
88.00,6.30,2.30,4.40,1.30,"Iris-versicolor"
89.00,5.60,3.00,4.10,1.30,"Iris-versicolor"
90.00,5.50,2.50,4.00,1.30,"Iris-versicolor"
91.00,5.50,2.60,4.40,1.20,"Iris-versicolor"
92.00,6.10,3.00,4.60,1.40,"Iris-versicolor"
93.00,5.80,2.60,4.00,1.20,"Iris-versicolor"
94.00,5.00,2.30,3.30,1.00,"Iris-versicolor"
95.00,5.60,2.70,4.20,1.30,"Iris-versicolor"
96.00,5.70,3.00,4.20,1.20,"Iris-versicolor"
97.00,5.70,2.90,4.20,1.30,"Iris-versicolor"
98.00,6.20,2.90,4.30,1.30,"Iris-versicolor"
99.00,5.10,2.50,3.00,1.10,"Iris-versicolor"
100.00,5.70,2.80,4.10,1.30,"Iris-versicolor"
101.00,6.30,3.30,6.00,2.50,"Iris-virginica"
102.00,5.80,2.70,5.10,1.90,"Iris-virginica"
103.00,7.10,3.00,5.90,2.10,"Iris-virginica"
104.00,6.30,2.90,5.60,1.80,"Iris-virginica"
105.00,6.50,3.00,5.80,2.20,"Iris-virginica"
106.00,7.60,3.00,6.60,2.10,"Iris-virginica"
107.00,4.90,2.50,4.50,1.70,"Iris-virginica"
108.00,7.30,2.90,6.30,1.80,"Iris-virginica"
109.00,6.70,2.50,5.80,1.80,"Iris-virginica"
110.00,7.20,3.60,6.10,2.50,"Iris-virginica"
111.00,6.50,3.20,5.10,2.00,"Iris-virginica"
112.00,6.40,2.70,5.30,1.90,"Iris-virginica"
113.00,6.80,3.00,5.50,2.10,"Iris-virginica"
114.00,5.70,2.50,5.00,2.00,"Iris-virginica"
115.00,5.80,2.80,5.10,2.40,"Iris-virginica"
116.00,6.40,3.20,5.30,2.30,"Iris-virginica"
117.00,6.50,3.00,5.50,1.80,"Iris-virginica"
118.00,7.70,3.80,6.70,2.20,"Iris-virginica"
119.00,7.70,2.60,6.90,2.30,"Iris-virginica"
120.00,6.00,2.20,5.00,1.50,"Iris-virginica"
121.00,6.90,3.20,5.70,2.30,"Iris-virginica"
122.00,5.60,2.80,4.90,2.00,"Iris-virginica"
123.00,7.70,2.80,6.70,2.00,"Iris-virginica"
124.00,6.30,2.70,4.90,1.80,"Iris-virginica"
125.00,6.70,3.30,5.70,2.10,"Iris-virginica"
126.00,7.20,3.20,6.00,1.80,"Iris-virginica"
127.00,6.20,2.80,4.80,1.80,"Iris-virginica"
128.00,6.10,3.00,4.90,1.80,"Iris-virginica"
129.00,6.40,2.80,5.60,2.10,"Iris-virginica"
130.00,7.20,3.00,5.80,1.60,"Iris-virginica"
131.00,7.40,2.80,6.10,1.90,"Iris-virginica"
132.00,7.90,3.80,6.40,2.00,"Iris-virginica"
133.00,6.40,2.80,5.60,2.20,"Iris-virginica"
134.00,6.30,2.80,5.10,1.50,"Iris-virginica"
135.00,6.10,2.60,5.60,1.40,"Iris-virginica"
136.00,7.70,3.00,6.10,2.30,"Iris-virginica"
137.00,6.30,3.40,5.60,2.40,"Iris-virginica"
138.00,6.40,3.10,5.50,1.80,"Iris-virginica"
139.00,6.00,3.00,4.80,1.80,"Iris-virginica"
140.00,6.90,3.10,5.40,2.10,"Iris-virginica"
141.00,6.70,3.10,5.60,2.40,"Iris-virginica"
142.00,6.90,3.10,5.10,2.30,"Iris-virginica"
143.00,5.80,2.70,5.10,1.90,"Iris-virginica"
144.00,6.80,3.20,5.90,2.30,"Iris-virginica"
145.00,6.70,3.30,5.70,2.50,"Iris-virginica"
146.00,6.70,3.00,5.20,2.30,"Iris-virginica"
147.00,6.30,2.50,5.00,1.90,"Iris-virginica"
148.00,6.50,3.00,5.20,2.00,"Iris-virginica"
149.00,6.20,3.40,5.40,2.30,"Iris-virginica"
150.00,5.90,3.00,5.10,1.80,"Iris-virginica"
