"RespondentID","Lottery","smoke","alcohol","gamble","skydiving","drive_above_speed_limit","cheated","eat_steak","like_steak_prepared","Gender","Age","Household_Income","Education","Location"
3234760413.00,"Lottery B","Yes","Yes","Yes","No","Yes","No","Yes","Medium","Male","18-29","$0 - $24,999",,"Mountain"
3234760930.00,"Lottery A","No","Yes","Yes","No","Yes","Yes","No",,"Female","45-60","$50,000 - $99,999","Some college or Associate degree","Pacific"
3234761071.00,"Lottery A","Yes","Yes","Yes","No","Yes","No","Yes","Medium rare","Male","30-44","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
3234761718.00,"Lottery A","No","Yes","No","Yes","Yes","No","No",,"Female","> 60","$50,000 - $99,999","Some college or Associate degree","Mountain"
3234761827.00,"Lottery B","No","No","No","No","Yes","No","Yes","Medium rare","Female","18-29","$25,000 - $49,999","High school degree","South Atlantic"
3234761877.00,"Lottery A","No","No","Yes","No","Yes","No","Yes","Medium Well","Male","30-44","$50,000 - $99,999","Graduate degree","Pacific"
3234761879.00,"Lottery B","No","Yes","No","No","Yes","No","Yes","Medium Well","Female","> 60","$100,000 - $149,999","Bachelor degree","West North Central"
3234762638.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium rare","Male","> 60","$50,000 - $99,999","Bachelor degree","Pacific"
3234762715.00,"Lottery B","No","No","No","No","Yes","No","No",,"Male","18-29","$50,000 - $99,999","Some college or Associate degree","West North Central"
3234763171.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium","Male","> 60",,"Graduate degree","Pacific"
3234763650.00,"Lottery A","No","No","No","No","Yes","No","No",,"Male","45-60","$100,000 - $149,999","Some college or Associate degree","South Atlantic"
3234763723.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium","Male","30-44","$100,000 - $149,999","Bachelor degree","South Atlantic"
3234764005.00,"Lottery B","Yes","Yes","Yes","No","Yes","No","Yes","Medium rare","Female","18-29","$50,000 - $99,999","Some college or Associate degree","Mountain"
3234764079.00,"Lottery A","No","Yes","No","No","Yes","Yes","No",,"Male","45-60","$50,000 - $99,999","Bachelor degree","West South Central"
3234764154.00,"Lottery B","No","Yes","No","No","Yes","No","Yes","Medium rare","Female","45-60",,"Some college or Associate degree","Pacific"
3234764452.00,"Lottery B","Yes","Yes","Yes","Yes","Yes","No","Yes","Medium Well","Male","45-60","$100,000 - $149,999","Some college or Associate degree","South Atlantic"
3234764807.00,"Lottery A","No","Yes","No","No","Yes","No","Yes","Medium rare","Male","> 60","$150,000+","Bachelor degree","Middle Atlantic"
3234765401.00,"Lottery A","No","No","No","No","No","No","No",,"Female","45-60","$25,000 - $49,999","High school degree","Pacific"
3234765572.00,"Lottery B","Yes","Yes","Yes","No","Yes","Yes","No",,"Female","30-44","$0 - $24,999","Graduate degree","Pacific"
3234765812.00,"Lottery A","No","Yes","No","No","Yes","No","Yes","Medium Well","Male","> 60","$150,000+","Graduate degree","Pacific"
3234766097.00,"Lottery A","No","No","Yes","No","Yes","No","Yes","Well","Female","30-44",,"Some college or Associate degree","East South Central"
3234766329.00,"Lottery B","Yes","No","Yes","No","Yes","Yes","No",,"Female","30-44","$25,000 - $49,999","Bachelor degree","Middle Atlantic"
3234766450.00,"Lottery B","Yes","Yes","Yes","Yes","Yes","No","No",,"Female","30-44","$0 - $24,999","Some college or Associate degree","Pacific"
3234767012.00,"Lottery B","No","Yes","No","No","No","Yes","Yes","Well","Male","30-44","$0 - $24,999","Some college or Associate degree","East North Central"
3234767721.00,"Lottery A","Yes","Yes","Yes","No","Yes","No","Yes","Medium","Female","30-44","$50,000 - $99,999","Some college or Associate degree","South Atlantic"
3234768064.00,"Lottery B","No","Yes","Yes","No","Yes","No","Yes","Medium rare","Female","30-44","$100,000 - $149,999","Graduate degree","East North Central"
3234768304.00,"Lottery B","No","Yes","Yes",,"Yes","Yes","No",,"Female","30-44","$50,000 - $99,999","Some college or Associate degree","West South Central"
3234768724.00,"Lottery A","No","Yes","Yes","No","Yes","No","No",,"Female","18-29",,"Bachelor degree","East North Central"
3234769677.00,"Lottery A","No","No","Yes","No","Yes","No","Yes","Medium Well","Female","30-44","$0 - $24,999","Some college or Associate degree","West South Central"
3234769753.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium","Female","30-44","$50,000 - $99,999","Some college or Associate degree","New England"
3234770752.00,"Lottery B",,"No","No","No","No","No","Yes","Well","Male","45-60","$50,000 - $99,999","Bachelor degree","South Atlantic"
3234770881.00,"Lottery B",,,,,,,,,,,,,
3234770901.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium","Female","45-60","$150,000+","Graduate degree","Mountain"
3234771246.00,"Lottery A","No","Yes","Yes","No","Yes","Yes","Yes","Medium Well","Male","30-44","$50,000 - $99,999","Graduate degree","East North Central"
3234771796.00,"Lottery A","No","No","No","No","Yes","No","No",,"Female","18-29","$100,000 - $149,999","Bachelor degree","Pacific"
3234771955.00,"Lottery A","No","No","No","No","Yes","No","Yes","Medium","Female","> 60","$50,000 - $99,999","Some college or Associate degree","New England"
3234772281.00,"Lottery B","No","Yes","Yes","No","Yes","No","Yes","Medium rare","Male","30-44","$100,000 - $149,999","Bachelor degree","South Atlantic"
3234772571.00,"Lottery B","Yes","Yes","Yes","No","Yes","No","Yes","Medium rare","Male","45-60",,"High school degree","Mountain"
3234772936.00,"Lottery A","No","Yes","No","No","Yes","No","Yes","Medium","Male","> 60","$50,000 - $99,999","Graduate degree","Pacific"
3234773000.00,"Lottery A","No","Yes","Yes","No","Yes","Yes","Yes","Medium Well",,,,,
3234773444.00,"Lottery A","No","No","No","No","No","No","Yes","Medium rare","Male","30-44","$50,000 - $99,999","Graduate degree","West North Central"
3234774090.00,"Lottery A",,,,,,,,,,,,,
3234774218.00,"Lottery A","No","Yes","No","No","Yes","Yes","Yes","Medium rare","Female","30-44","$50,000 - $99,999","Some college or Associate degree","Mountain"
3234774379.00,"Lottery B","No","Yes","No","No","Yes","No","Yes","Medium rare","Female","> 60",,"Graduate degree","New England"
3234774532.00,"Lottery A","No","No","Yes","No","Yes","No","No",,"Female","45-60","$50,000 - $99,999","Some college or Associate degree","Pacific"
3234774687.00,"Lottery B","No","Yes","No","No","Yes","Yes","Yes","Medium rare","Male","18-29","$25,000 - $49,999","High school degree","South Atlantic"
3234775020.00,"Lottery A","Yes","Yes","Yes","No","Yes","No","No",,"Male","> 60","$50,000 - $99,999","Some college or Associate degree","East North Central"
3234775052.00,"Lottery B","Yes","Yes","No","No","Yes","No","Yes","Medium rare","Male","18-29","$0 - $24,999","Some college or Associate degree","East North Central"
3234775250.00,"Lottery A","No","Yes","Yes","No","Yes","No","No",,"Female","18-29",,"Some college or Associate degree","West North Central"
3234775647.00,"Lottery B",,,,,,,,,,,,,
3234775816.00,"Lottery A","Yes","No","No","No","No","No","Yes","Medium Well","Female","45-60","$25,000 - $49,999","Some college or Associate degree","Mountain"
3234775831.00,"Lottery A","No","Yes","Yes","No","Yes","No",,"Well","Female","> 60","$100,000 - $149,999","Bachelor degree","East South Central"
3234776702.00,"Lottery B","No","No","No","No","No","No","Yes","Medium rare","Female","> 60","$50,000 - $99,999","Graduate degree","Mountain"
3234776815.00,"Lottery A","Yes","Yes","No","No","Yes","No","Yes","Medium","Female","45-60","$150,000+","Bachelor degree","New England"
3234776895.00,"Lottery B","No","No","No","No","No","No","Yes","Medium rare","Female","45-60","$0 - $24,999","Some college or Associate degree","West South Central"
3234777247.00,"Lottery B","No","Yes","Yes","Yes","Yes","No","Yes","Medium","Male","45-60","$0 - $24,999","Bachelor degree","Pacific"
3234777660.00,"Lottery B","No","Yes","No","No","Yes","No","Yes","Medium","Female","18-29","$0 - $24,999","Some college or Associate degree","New England"
3234777834.00,"Lottery B","No","Yes","No","Yes","Yes","No","No",,"Female","30-44","$150,000+","Graduate degree","New England"
3234778061.00,"Lottery A","No","Yes","Yes","No","Yes","Yes","Yes","Medium Well","Male","45-60",,"Graduate degree","West South Central"
3234778201.00,"Lottery A","No","Yes","Yes","No","Yes","No","Yes","Medium Well","Male","18-29","$50,000 - $99,999","Some college or Associate degree","Middle Atlantic"
3234778259.00,"Lottery A","No","Yes","No","No","Yes","No","Yes","Medium","Female","18-29",,"Some college or Associate degree","East North Central"
3234778299.00,"Lottery B","No","Yes","No","Yes","Yes","Yes","Yes","Medium Well","Male","45-60","$150,000+","Bachelor degree","South Atlantic"
3234778457.00,"Lottery A","No","Yes","No","No","Yes","No","No",,"Female","30-44","$25,000 - $49,999","Bachelor degree","East South Central"
3234778651.00,"Lottery A","No","Yes","No","No","Yes","No","Yes","Rare","Male","> 60","$150,000+","Graduate degree","South Atlantic"
3234778653.00,"Lottery A","Yes","Yes","Yes","No","Yes","No","Yes","Medium","Female","45-60","$100,000 - $149,999","Some college or Associate degree","Pacific"
3234778878.00,"Lottery A","Yes","Yes","No","No","Yes","No","Yes","Medium rare","Male","30-44","$50,000 - $99,999","Some college or Associate degree","East North Central"
3234779361.00,"Lottery B","No","No","No","No","Yes","No","Yes","Medium Well","Male","> 60","$100,000 - $149,999","Graduate degree","East South Central"
