"ID","season","week_num","day_of_week","gametime_local","home_team","away_team","home_score","away_score","OT_flag","arrests","division_game"
1,2011.00,1.00,"Sunday",12/30/1899 13:15:00,"Arizona","Carolina",28.00,21.00,,5.00,"n"
2,2011.00,4.00,"Sunday",12/30/1899 13:05:00,"Arizona","New York Giants",27.00,31.00,,6.00,"n"
3,2011.00,7.00,"Sunday",12/30/1899 13:05:00,"Arizona","Pittsburgh",20.00,32.00,,9.00,"n"
4,2011.00,9.00,"Sunday",12/30/1899 14:15:00,"Arizona","St. Louis",19.00,13.00,"OT",6.00,"y"
5,2011.00,13.00,"Sunday",12/30/1899 14:15:00,"Arizona","Dallas",19.00,13.00,"OT",3.00,"n"
6,2011.00,14.00,"Sunday",12/30/1899 14:05:00,"Arizona","San Francisco",21.00,19.00,,4.00,"y"
7,2011.00,15.00,"Sunday",12/30/1899 14:15:00,"Arizona","Cleveland",20.00,17.00,"OT",1.00,"n"
8,2011.00,17.00,"Sunday",12/30/1899 14:15:00,"Arizona","Seattle",23.00,20.00,"OT",4.00,"y"
9,2012.00,1.00,"Sunday",12/30/1899 13:25:00,"Arizona","Seattle",20.00,16.00,,0.00,"y"
10,2012.00,3.00,"Sunday",12/30/1899 13:05:00,"Arizona","Philadelphia",27.00,6.00,,12.00,"n"
11,2012.00,4.00,"Sunday",12/30/1899 13:05:00,"Arizona","Miami",24.00,21.00,"OT",4.00,"n"
12,2012.00,6.00,"Sunday",12/30/1899 13:05:00,"Arizona","Buffalo",19.00,16.00,"OT",1.00,"n"
13,2012.00,8.00,"Monday",12/30/1899 17:30:00,"Arizona","San Francisco",3.00,24.00,,3.00,"y"
14,2012.00,12.00,"Sunday",12/30/1899 14:25:00,"Arizona","St. Louis",17.00,31.00,,7.00,"y"
15,2012.00,15.00,"Sunday",12/30/1899 14:05:00,"Arizona","Detroit",38.00,10.00,,3.00,"n"
16,2012.00,16.00,"Sunday",12/30/1899 14:25:00,"Arizona","Chicago",13.00,28.00,,7.00,"n"
17,2013.00,2.00,"Sunday",12/30/1899 13:05:00,"Arizona","Detroit",25.00,21.00,,7.00,"n"
18,2013.00,5.00,"Sunday",12/30/1899 13:05:00,"Arizona","Carolina",22.00,6.00,,3.00,"n"
19,2013.00,7.00,"Thursday",12/30/1899 17:25:00,"Arizona","Seattle",22.00,34.00,,7.00,"y"
20,2013.00,8.00,"Sunday",12/30/1899 13:25:00,"Arizona","Atlanta",27.00,13.00,,2.00,"n"
21,2013.00,10.00,"Sunday",12/30/1899 14:25:00,"Arizona","Houston",27.00,24.00,,3.00,"n"
22,2013.00,12.00,"Sunday",12/30/1899 14:05:00,"Arizona","Indianapolis",40.00,11.00,,2.00,"n"
23,2013.00,14.00,"Sunday",12/30/1899 14:25:00,"Arizona","St. Louis",30.00,10.00,,4.00,"y"
24,2013.00,17.00,"Sunday",12/30/1899 14:25:00,"Arizona","San Francisco",20.00,23.00,,7.00,"y"
25,2014.00,1.00,"Monday",12/30/1899 19:20:00,"Arizona","San Diego",18.00,17.00,,4.00,"n"
26,2014.00,3.00,"Sunday",12/30/1899 13:05:00,"Arizona","San Francisco",23.00,14.00,,6.00,"y"
27,2014.00,6.00,"Sunday",12/30/1899 13:25:00,"Arizona","Washington",30.00,20.00,,4.00,"n"
28,2014.00,8.00,"Sunday",12/30/1899 13:05:00,"Arizona","Philadelphia",24.00,20.00,,2.00,"n"
29,2014.00,10.00,"Sunday",12/30/1899 14:25:00,"Arizona","St. Louis",31.00,14.00,,1.00,"y"
