"Review .","Brand","Variety","Style","Country","Stars"
1.00,"Westbrae","Miso Ramen","Pack","USA",0.50
2.00,"Wai Wai","Tom Yum Chili Flavor","Pack","Thailand",2.00
3.00,"Wai Wai","Tom Yum Shrimp","Pack","Thailand",2.00
4.00,"Wai Wai","Oriental Style Instant Noodles","Pack","Thailand",1.00
5.00,"Vifon","Hu Tiu Nam Vang [""Phnom Penh"" style] Asian Style Instant Rice Noodles","Bowl","Vietnam",3.50
6.00,"Vifon","Nam Vang","Pack","Vietnam",2.50
7.00,"Ve Wong","Mushroom Pork","Pack","Vietnam",1.00
8.00,"Tung-I","Chinese Beef Instant Rice Noodle","Pack","Taiwan",3.00
9.00,"Sutah","Cup Noodle","Cup","South Korea",2.00
10.00,"Smack","Vegetable Beef","Pack","USA",1.50
11.00,"Six Fortune","Chicken Flavor Instant Soup Noodle","Pack","South Korea",2.00
12.00,"Sapporo Ichiban","Shrimp Flavor","Pack","Japan",2.50
13.00,"Sapporo Ichiban","Chow Mein","Pack","Japan",5.00
14.00,"Samyang","Hot","Pack","South Korea",3.50
15.00,"Samyang","Pojangmacha U-dong","Pack","South Korea",2.50
16.00,"Samyang","Kalgug-Su (Spicy)","Pack","South Korea",3.50
17.00,"Quickchow","Pancit Palabok","Pack","Philippines",2.50
18.00,"Ottogi","Jin Ramen (Hot Taste)","Pack","South Korea",3.50
19.00,"Nongshim","Shin Ramyun","Pack","South Korea",4.00
20.00,"Nongshim","Neoguri (Seafood'n'Spicy)","Pack","South Korea",3.50
21.00,"Nongshim","Champong Oriental Noodles","Pack","South Korea",4.00
22.00,"Nongshim","Ansungtangmyun Noodle Soup","Pack","South Korea",3.75
23.00,"Nissin","Top Ramen Creamy Chicken","Pack","USA",4.50
24.00,"Nissin","Demae Ramen Spicy Seafood With Chili Pepper","Pack","Japan",2.00
25.00,"Nissin","Demae Ramen Spicy Flavor","Pack","Japan",3.00
26.00,"Nissin","Soba Noodles With Mayo Mustard Squirt","Pack","Japan",4.00
27.00,"Nissin","Demae Ramen Curry Flavor","Pack","Japan",4.00
28.00,"Nissin","Chikin Ramen","Pack","Japan",5.00
29.00,"Mee Jang","Tom Yum Shrimp","Bowl","Thailand",3.50
30.00,"Myojo","Special Duck","Pack","Japan",1.00
31.00,"Myojo","Ippeichan Yakisoba","Tray","Japan",4.00
32.00,"Koka","Mi Hai Cua Crab Flavor","Pack","Singapore",3.50
33.00,"Koka","Mi Hai Tom Prawn","Pack","Singapore",3.75
34.00,"Maruchan","Ramen Noodle Soup Shrimp","Pack","USA",2.00
35.00,"Mama","Chand Clear Soup","Pack","Thailand",3.00
36.00,"Lucky Me!","Itnok","Pack","Philippines",3.00
37.00,"Lucky Me!","Pancit Canton Hot Chili Flavor","Pack","Philippines",3.00
38.00,"Lucky Me!","Pancit Canton Citrus Flavor","Pack","Philippines",3.00
39.00,"Lucky Me!","Supreme Bulalo Flavor","Bowl","Philippines",3.00
40.00,"Lucky Me!","Pancit Canton Chili Mansi","Pack","Philippines",3.00
41.00,"Little Cook","Pork Mustard Stem","Bowl","Thailand",0.50
42.00,"Ve Wong","Kung-Fu Chicken Flavor","Pack","Vietnam",2.75
