ID,Stock,Date,Open,High,Low,Close,Volume,AdjClose
1,IBM,12/1/2005,$89.15 ,$89.92 ,$81.56 ,$82.20 ,5976252,$81.37 
2,IBM,11/1/2005,$81.85 ,$89.94 ,$80.64 ,$88.90 ,5556471,$88.01 
3,IBM,10/3/2005,$80.22 ,$84.60 ,$78.70 ,$81.88 ,7019666,$80.86 
4,IBM,9/1/2005,$80.16 ,$82.11 ,$76.93 ,$80.22 ,5772280,$79.22 
5,IBM,8/1/2005,$83.00 ,$84.20 ,$79.87 ,$80.62 ,4801386,$79.62 
6,IBM,7/1/2005,$74.30 ,$85.11 ,$74.16 ,$83.46 ,8056590,$82.23 
7,IBM,6/1/2005,$75.57 ,$77.73 ,$73.45 ,$74.20 ,6439536,$73.10 
8,IBM,5/2/2005,$76.88 ,$78.11 ,$72.50 ,$75.55 ,6896904,$74.43 
9,IBM,4/1/2005,$91.49 ,$91.76 ,$71.85 ,$76.38 ,10709200,$75.05 
10,IBM,3/1/2005,$92.64 ,$93.73 ,$89.09 ,$91.38 ,5025627,$89.79 
11,IBM,2/1/2005,$93.67 ,$94.97 ,$91.55 ,$92.58 ,4455657,$90.97 
12,IBM,1/3/2005,$98.97 ,$99.10 ,$91.44 ,$93.42 ,5960945,$91.62 
13,IBM,12/1/2004,$94.50 ,$99.00 ,$94.47 ,$98.58 ,5043800,$96.68 
14,IBM,11/1/2004,$89.33 ,$96.63 ,$89.23 ,$94.24 ,5754876,$92.42 
15,IBM,10/1/2004,$85.95 ,$90.27 ,$84.29 ,$89.75 ,5839742,$87.85 
16,IBM,9/1/2004,$84.05 ,$87.28 ,$83.24 ,$85.74 ,4719252,$83.93 
17,IBM,8/2/2004,$86.87 ,$87.39 ,$81.90 ,$84.69 ,4298600,$82.90 
18,IBM,7/1/2004,$88.28 ,$88.44 ,$83.42 ,$87.07 ,5929023,$85.05 
19,IBM,6/1/2004,$88.00 ,$91.21 ,$87.30 ,$88.15 ,4604409,$86.10 
20,IBM,5/3/2004,$88.13 ,$89.75 ,$85.12 ,$88.59 ,5395555,$86.53 
21,IBM,4/1/2004,$91.67 ,$94.55 ,$88.01 ,$88.17 ,5507214,$85.95 
22,IBM,3/1/2004,$96.50 ,$97.60 ,$90.28 ,$91.84 ,5612921,$89.53 
23,IBM,2/2/2004,$99.15 ,$100.43 ,$95.20 ,$96.50 ,5392468,$94.07 
24,IBM,1/2/2004,$92.86 ,$99.85 ,$89.01 ,$99.23 ,7275305,$96.57 
25,IBM,12/1/2003,$90.90 ,$94.12 ,$90.03 ,$92.68 ,5492295,$90.20 
26,IBM,11/3/2003,$89.90 ,$91.48 ,$87.72 ,$90.54 ,5271663,$88.12 
27,IBM,10/1/2003,$88.75 ,$94.54 ,$87.53 ,$89.48 ,6999200,$86.93 
